"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C9","8","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C8","1","100uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_6.3x7.7",""
"C10,C11","2","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_8x5.4",""
"D1","1","PWRLED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D2","1","+3V_LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"J1","1","CONN-DEC-DOUBLE","","","","","${EXCLUDE_FROM_POS_FILES}","DEC-FLIP-CHIP:CONN-DEC-DOUBLE",""
"J2","1","display_switches_hdr","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical",""
"J3","1","pgm_hdr","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"JP1","1","Jumper_2_Bridged","","","","","${EXCLUDE_FROM_POS_FILES}","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Q1","1","BC547","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R2","2","4.7k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"R4,R5,R6,R7,R8,R9,R10,R11","8","1K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric",""
"U1","1","ATtiny1616-S","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf"
"U2,U3,U4,U5,U6,U7","6","PCF8574T","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf"
"U8","1","74ACT00SC","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SOIC-14W_7.5x9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls00"
"U9","1","LD1117S33TR_SOT223","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
