Designator,Mid X,Mid Y,Rotation,Layer
C1,202.25,-259.08,270.0,top
C10,240.792,-258.826,180.0,top
C11,282.956,-259.08,180.0,top
C12,221.742,-258.826,270.0,top
C2,257.81,-275.59,270.0,top
C3,312.74,-275.59,270.0,top
C4,294.96,-275.59,270.0,top
C5,276.86,-275.59,270.0,top
C6,237.49,-275.59,270.0,top
C7,220.03,-275.59,270.0,top
C8,294.48,-259.08,180.0,top
C9,202.25,-275.59,270.0,top
D1,267.9335,-246.634,180.0,top
D2,267.9335,-240.284,180.0,top
J1,264.2743,-297.18,0.0,top
J2,218.44,-242.57,270.0,top
J3,252.476,-243.84,180.0,top
J4,301.752,-240.792,270.0,top
J5,321.818,-251.714,270.0,top
JP1,274.94,-281.94,0.0,top
Q1,318.77,-262.89,0.0,top
R1,262.008,-251.968,0.0,top
R10,262.1585,-246.634,0.0,top
R11,262.1585,-240.284,0.0,top
R2,267.088,-251.968,0.0,top
R4,262.008,-257.048,0.0,top
R5,267.088,-257.048,0.0,top
R6,262.008,-262.128,0.0,top
R7,267.088,-262.128,0.0,top
R8,267.088,-267.208,0.0,top
R9,262.008,-267.208,0.0,top
U1,211.455,-258.65,0.0,top
U10,227.838,-258.572,0.0,top
U2,285.115,-275.16,0.0,top
U3,302.895,-275.16,0.0,top
U4,320.675,-275.16,0.0,top
U5,245.11,-275.16,0.0,top
U6,227.965,-275.16,0.0,top
U7,210.185,-275.16,0.0,top
U8,264.59,-275.16,90.0,top
U9,252.476,-258.826,180.0,top
