Designator,Mid X,Mid Y,Rotation,Layer
C1,202.25,-259.08,270.0,top
C10,236.98,-259.08,180.0,top
C11,281.43,-259.08,180.0,top
C2,257.81,-275.59,270.0,top
C3,312.74,-275.59,270.0,top
C4,294.96,-275.59,270.0,top
C5,276.86,-275.59,270.0,top
C6,237.49,-275.59,270.0,top
C7,220.03,-275.59,270.0,top
C8,294.48,-259.08,180.0,top
C9,202.25,-275.59,270.0,top
D1,252.5125,-250.19,180.0,top
D2,252.5125,-243.84,180.0,top
J1,264.2743,-297.18,0.0,top
J2,218.44,-242.57,270.0,top
J3,226.06,-259.08,180.0,top
JP1,274.94,-281.94,0.0,top
Q1,318.77,-262.89,0.0,top
R1,261.9775,-248.92,0.0,top
R10,246.7375,-250.19,0.0,top
R11,246.7375,-243.84,0.0,top
R2,267.0575,-248.92,0.0,top
R4,261.9775,-254.0,0.0,top
R5,267.0575,-254.0,0.0,top
R6,261.9775,-259.08,0.0,top
R7,267.0575,-259.08,0.0,top
R8,267.0575,-264.16,0.0,top
R9,261.9775,-264.16,0.0,top
U1,211.455,-258.65,0.0,top
U2,285.115,-275.16,0.0,top
U3,302.895,-275.16,0.0,top
U4,320.675,-275.16,0.0,top
U5,245.11,-275.16,0.0,top
U6,227.965,-275.16,0.0,top
U7,210.185,-275.16,0.0,top
U8,264.59,-275.16,0.0,top
U9,250.85,-259.08,180.0,top
