Led 	Signal	Km2	Km1		Pin
D1	BSR0_H	MSYN*	BUT_IR*		
D2	BSR1_H	SSYN*	BBSY*
D3	BSR3_H	C1*	SSYN*
D4	BSR7_H	C2*	MSYN*

D5	BSR15_H	AUX_C*	AMUX15
D6	BSR14_H	BUT_JJ*	AMUX14
D7	BSR12_H	BUT_UN*	AMUX13
D8	BSR8_H	CNST*	AMUX12

D9	ISR0_H	ALUM	AMUX11
D10	ISR1_H	CIN	AMUX10
D11	ISR3_H	EALU	AMUX9
D12	ISR7_H	SPWR	AMUX8

D13	ISR15_H	ALU_S3*	AMUX7
D14	ISR14_H	ALU_S2*	AMUX6
D15	ISR12_H	ALU_S1*	AMUX5
D16	ISR8_H	ALU_S0*	AMUX4

D17	N_H	SPAD_3	AMUX3
D18	Z_H	SPAD_2	AMUX2
D19	V_H	SPAD_1	AMUX1
D20	C_H	SPAD_0	AMUX0

D21	T_H	MPC7	MPC7
D22	TRAPS_H	MPC6	MPC6
D23	B_MSYN_H	MPC5	MPC5
D24	B_SSYN_H	MPC4	MPC4

D25	RW2_H	MPC3	MPC3
D26	TST1_H	MPC2	MPC2
D27	TST2_H	MPC1	MPC1
D28	ISR2_H	MPC0	MPC0



